GENEID	R3452	R3462	R3485	R2869	R3098	R3467
MIR378D2	0	1	0	0	0	0
PDP1	9673	9050	11565	12953	944	16868
CDH17	8	7	12	17	2	12
GEM	147	276	87	197	357	149
RAD54B	681	879	395	236	61	234
FSBP	0	0	0	0	0	0
KIAA1429	6743	7963	7762	1933	607	2158
LOC100288748	0	0	0	0	0	0
ESRP1	7	4	15	46	0	61
DPY19L4	2260	4072	3119	2043	581	1282
INTS8	3442	4721	3552	1010	362	1109
CCNE2	876	1410	447	500	43	326
TP53INP1	3929	6564	3997	488	322	314
C8orf38	724	1015	1432	887	193	899
MIR3150B	0	1	0	0	0	0
MIR3150A	0	0	0	0	0	0
PLEKHF2	1021	1195	813	440	173	280
C8orf69	0	0	0	0	0	0
C8orf37	425	504	493	361	128	244
LOC100616530	5	2	5	8	1	3
LOC100500773	0	2	0	0	0	0
GDF6	32	78	48	64	28	47
UQCRB	9788	10847	13168	13588	5492	10711
MTERFD1	925	1169	1230	646	161	621
PTDSS1	11422	7055	10390	4079	809	3855
SDC2	1631	2764	1457	3606	2329	1004
CPQ	196	474	402	989	672	399
TSPYL5	7374	7653	9690	2999	354	3669
MTDH	12279	12821	12505	6200	1222	6617
LAPTM4B	2488	3376	1972	3515	895	3163
MATN2	377	527	644	835	344	858
RPL30	44028	47254	35186	6131	6258	4199
SNORA72	86	105	101	30	8	17
C8orf47	153	75	120	56	2	51
HRSP12	655	884	627	2777	2411	1155
POP1	1505	1267	1352	399	117	449
NIPAL2	168	172	333	885	55	1925
KCNS2	66	170	345	567	16	1358
STK3	223	367	149	366	212	192
OSR2	0	9	6	0	0	0
VPS13B	4920	8496	7921	1896	532	2654
MIR599	0	0	0	0	0	0
MIR875	0	0	0	0	0	1
COX6C	3393	4879	5339	8349	2813	5740
RGS22	50	119	47	34	28	71
FBXO43	159	217	58	1	6	7
POLR2K	2259	3002	3779	4310	889	2896
SPAG1	559	524	801	534	100	445
RNF19A	11342	9621	12727	3619	1006	4523
MIR4471	0	0	0	0	0	0
ANKRD46	9364	10990	20079	6406	838	6057
SNX31	39	36	39	42	2	26
PABPC1	59248	56045	68575	7984	2247	6073
YWHAZ	95702	116375	179031	64166	7503	63874
FLJ42969	0	20	14	18	4	14
ZNF706	5651	6723	9093	4193	1217	3519
NACAP1	71	88	65	30	15	19
GRHL2	26	29	7	8	5	1
NCALD	16345	11226	21173	19036	1385	27472
RRM2B	4898	4123	6049	3247	784	3529
UBR5	25586	31926	24695	4338	1823	5343
ODF1	15	11	39	7	2	13
KLF10	4362	3792	5492	1081	397	1583
AZIN1	31010	36808	50150	13384	2466	16176
ATP6V1C1	5072	6679	7829	15736	1322	21461
C8orf56	12	32	28	26	23	12
BAALC	3481	5531	9612	18599	15839	16347
MIR3151	1	0	0	2	1	0
LOC100499183	5	0	13	88	79	44
FZD6	232	492	445	455	368	442
CTHRC1	163	310	492	97	64	95
SLC25A32	1304	1465	1870	1570	236	1745
DCAF13	2434	3438	3328	880	324	713
RIMS2	1198	2765	4341	5461	2113	8434
TM7SF4	2	0	0	39	4	36
DPYS	5	14	49	93	13	73
LRP12	6784	9718	12971	1879	319	2167
ZFPM2	3725	2289	3323	1237	184	1647
OXR1	2878	4322	5542	16908	1118	24518
ABRA	2	0	0	20	0	16
ANGPT1	41	267	160	255	125	135
RSPO2	176	212	328	1651	78	2500
EIF3E	16288	16580	17022	4234	1373	3406
TTC35	1131	1504	1664	2993	1059	1723
TMEM74	2195	1773	2724	187	54	341
TRHR	19	35	130	0	0	4
NUDCD1	2321	2701	2943	925	144	963
ENY2	3230	3574	3753	2630	625	1980
PKHD1L1	18	19	41	8	0	2
EBAG9	1539	1612	2107	1605	310	1191
SYBU	16948	13076	25706	8097	923	8451
KCNV1	2839	2997	5410	2728	62	6005
CSMD3	7361	6892	9826	1191	195	1999
MIR2053	1	0	0	0	0	0
TRPS1	1039	1851	514	1006	535	751
LINC00536	0	0	0	0	0	0
EIF3H	16847	15797	14920	4478	1491	3944
UTP23	1723	2242	2250	776	177	730
RAD21	24361	30770	29042	12667	3280	11013
RAD21-AS1	5	15	7	31	5	6
MIR3610	0	0	0	0	0	0
C8orf85	24	8	67	89	20	101
SLC30A8	5	2	4	2	0	37
MED30	842	1257	742	289	95	208
EXT1	2344	3168	2225	746	167	954
SAMD12	1531	953	1844	3420	288	5601
SAMD12-AS1	1	1	0	3	0	0
TNFRSF11B	22	52	20	76	96	8
COLEC10	8	12	18	12	0	15
MAL2	819	2397	3676	6891	590	9474
NOV	324	1487	2828	1527	590	1451
ENPP2	251	308	268	14096	762	6740
TAF2	4451	5598	5691	1249	249	1388
DSCC1	477	1409	2072	165	46	110
DEPTOR	643	1098	1278	1084	187	813
COL14A1	87	92	153	89	276	246
MRPL13	872	1043	1135	741	350	570
MTBP	851	1049	542	314	51	358
SNTB1	174	375	225	667	611	428
HAS2	294	77	157	20	28	22
HAS2-AS1	24	6	10	12	9	18
ZHX2	2542	4115	1563	1576	1037	774
DERL1	7300	8802	10397	2246	524	2239
WDR67	1160	1084	1047	438	165	466
FAM83A	8	4	0	0	0	0
LOC100131726	0	1	2	0	0	1
MIR4663	1	0	0	0	2	0
C8orf76	180	216	204	125	59	99
ZHX1-C8ORF76	25	46	30	6	2	5
ZHX1	10188	10774	11308	3093	1583	3769
ATAD2	3936	4223	938	676	291	733
WDYHV1	1196	1399	1500	581	142	481
FBXO32	3825	3871	2970	2667	741	3535
KLHL38	9	10	12	32	4	31
ANXA13	0	2	6	8	4	6
FAM91A1	3577	4732	4968	2735	834	2679
FER1L6	6	20	23	21	53	46
FER1L6-AS1	0	0	0	1	0	0
TMEM65	5048	7574	13336	3345	488	3493
TRMT12	1553	1720	1892	581	108	812
RNF139	2902	3531	3933	1854	414	1607
TATDN1	1136	1341	1605	985	171	686
NDUFB9	3708	4184	5095	7132	3745	5395
MTSS1	27245	36131	41351	4014	1133	3297
LOC157381	8	22	34	0	0	6
ZNF572	313	412	336	115	38	54
SQLE	13593	18393	28244	3698	335	2549
KIAA0196	3679	3912	4404	1763	498	2083
NSMCE2	690	858	783	569	114	416
TRIB1	2311	1772	3339	1014	583	637
LOC100130231	2	22	33	10	19	24
FAM84B	7514	7116	7390	920	212	562
PCAT1	6	0	0	0	0	0
POU5F1B	54	37	20	0	2	2
LOC727677	0	1	2	0	0	0
MYC	2081	2162	3920	203	52	219
PVT1	83	62	70	66	16	65
MIR1204	0	0	0	0	0	0
MIR1205	0	2	0	0	0	0
MIR1206	0	0	0	0	0	0
MIR1207	0	0	0	0	0	0
MIR1208	0	0	0	0	0	5
LOC728724	0	0	2	0	0	0
GSDMC	2	0	2	11	24	10
FAM49B	8733	12016	17608	8065	695	8836
ASAP1	9502	12150	8757	4538	912	7435
LOC100507117	8	28	20	11	0	3
ASAP1-IT1	2	0	0	0	1	4
ADCY8	586	2326	1852	937	381	868
EFR3A	2612	3815	4917	9874	1808	13802
OC90	7	9	6	10	0	4
HHLA1	6	31	18	0	0	4
KCNQ3	20814	28785	27915	8605	1140	16261
HPYR1	4	8	2	10	1	28
LRRC6	446	517	722	539	110	799
TMEM71	4	9	23	43	53	30
PHF20L1	11782	12968	13265	3724	731	3828
TG	218	284	263	22	4	18
SLA	43777	50128	53846	292	96	199
WISP1	22	48	239	60	20	26
NDRG1	29106	24349	32005	18147	5136	9148
ST3GAL1	12887	8839	16545	1825	359	2298
ZFAT	1231	1246	1155	464	88	458
ZFAT-AS1	1	0	3	0	0	0
MIR30B	1	0	0	0	0	0
MIR30D	0	0	0	0	0	0
LOC286094	0	0	0	0	0	2
KHDRBS3	6021	9652	15752	4630	466	4470
FAM135B	835	2521	4102	1755	163	2830
COL22A1	265	626	185	163	78	277
KCNK9	934	645	862	291	6	390
TRAPPC9	3641	4613	5569	3219	699	3470
CHRAC1	800	913	837	672	215	273
EIF2C2	1530	2553	1790	165	70	497
PTK2	9078	11445	11249	10413	2438	9816
DENND3	2094	1970	2071	2453	434	3014
SLC45A4	766	650	750	1124	147	1530
LOC731779	0	0	0	0	7	4
GPR20	0	2	0	21	49	35
PTP4A3	2002	1250	1693	825	615	683
FLJ43860	31	26	31	10	53	18
MIR4472-1	0	0	1	0	0	0
LINC00051	8	7	10	1	0	5
TSNARE1	1154	1063	786	357	58	414
BAI1	10004	6769	10824	10583	4435	10377
ARC	676	644	456	1392	781	2314
JRK	6563	7950	6849	1343	338	1640
PSCA	1	4	152	28	2	16
LY6K	0	0	1	4	5	12
LOC100288181	15	39	51	184	114	354
C8orf55	569	831	914	1437	470	1189
SLURP1	2	1	1	0	0	0
LYPD2	0	0	1	0	0	1
LYNX1	1025	1207	1919	28301	4127	28497
LY6D	0	0	0	8	0	32
GML	0	0	0	0	0	1
CYP11B1	0	0	0	0	0	2
CYP11B2	0	0	0	0	0	0
LOC100133669	94	74	119	265	25	312
LY6E	2797	2190	2969	7474	2637	6579
C8orf31	80	420	115	43	38	41
LY6H	3390	3731	4650	4983	1320	3454
GPIHBP1	39	90	112	1343	158	383
ZFP41	2337	2392	2658	1063	250	1232
GLI4	748	729	586	745	324	448
ZNF696	2582	2922	2586	695	188	640
TOP1MT	2675	2762	2587	517	132	600
C8orf51	34	32	9	26	8	21
RHPN1	2005	1193	992	3369	742	2697
MAFA	8	30	22	6	4	6
ZC3H3	2353	2099	1931	1206	276	823
GSDMD	160	187	194	328	393	159
C8orf73	287	810	535	214	58	80
NAPRT1	1039	1940	1227	1159	332	942
EEF1D	11633	11338	7250	3979	2191	2914
TIGD5	1042	1014	758	351	93	290
PYCRL	570	456	574	863	354	785
TSTA3	2045	1937	2281	1338	362	1229
ZNF623	5314	7313	6174	932	201	1576
ZNF707	801	890	702	489	125	480
BREA2	46	40	47	14	4	3
CCDC166	32	15	30	4	0	6
MAPK15	576	530	589	132	95	95
FAM83H	745	577	1039	672	278	824
MIR4664	19	16	25	0	5	4
LOC100128338	116	121	211	67	24	67
SCRIB	10424	10143	6149	4105	2492	2271
MIR937	0	0	0	0	0	0
PUF60	9848	9071	9176	6045	2064	4847
NRBP2	13625	16928	15353	13065	3208	7064
EPPK1	174	213	1215	16	16	32
PLEC	13218	18026	17236	16803	5403	17463
MIR661	0	1	0	0	0	1
PARP10	627	622	739	978	627	535
GRINA	10143	9891	12096	14719	3797	10430
SPATC1	7	3	2	9	18	8
OPLAH	475	467	136	771	408	290
EXOSC4	884	846	804	608	238	459
GPAA1	4049	3694	3303	4359	1270	3078
CYC1	3767	4348	4454	5470	1650	4222
SHARPIN	2206	2494	1979	1850	764	1003
MAF1	5600	6241	4949	3414	1346	2443
KIAA1875	733	596	388	366	36	457
FAM203A	187	162	147	28	16	44
HEATR7A	1237	1284	1441	796	126	946
SCXA	0	0	0	0	0	0
SCXB	0	0	0	0	0	0
BOP1	819	828	923	285	62	279
HSF1	4101	3904	3012	3274	853	2322
DGAT1	4324	4192	3913	2417	846	1530
SCRT1	8818	6911	6786	8511	921	6796
C8ORFK29	307	243	228	72	34	42
FBXL6	1726	1623	1442	780	252	568
GPR172A	2317	2073	2100	936	282	673
ADCK5	1268	1374	1268	612	213	546
CPSF1	13120	9929	6129	3924	990	3198
MIR939	0	0	0	0	0	0
MIR1234	0	0	0	0	0	0
SLC39A4	220	113	65	630	110	513
VPS28	8406	9804	10668	4971	1549	2815
TONSL	1307	1504	441	438	84	385
CYHR1	2918	2960	2476	2525	996	1782
KIFC2	11345	9974	11737	13507	2470	12493
FOXH1	2	6	0	10	1	6
PPP1R16A	3434	2669	2437	2062	1010	1647
GPT	486	504	323	453	285	351
MFSD3	982	747	855	1592	375	1335
RECQL4	2903	1750	1319	753	275	659
LRRC14	3183	3194	2882	1821	499	1508
LRRC24	0	0	0	0	0	0
C8orf82	2019	1999	2123	714	280	369
ARHGAP39	5119	4184	5089	2778	491	2223
ZNF251	3395	4529	3591	1193	318	924
ZNF34	1549	1649	1714	434	150	366
RPL8	57172	57238	43386	16629	7971	12689
ZNF517	1785	1548	1444	697	200	504
ZNF7	2143	2413	2294	915	242	776
COMMD5	1431	1628	1710	844	374	739
ZNF250	5315	7250	6109	625	154	621
ZNF16	1123	1133	1090	363	112	295
ZNF252	3151	5153	4952	1244	966	1785
TMED10P1	344	591	574	51	20	132
C8orf77	123	132	88	42	24	27
C8orf33	4303	5133	5789	2690	1544	2217
WASH1	646	1593	1044	519	170	339
FAM138C	0	0	0	0	0	0
FOXD4	97	149	184	37	10	48
CBWD1	566	1250	1335	674	288	533
C9orf66	0	8	0	4	1	2
DOCK8	191	543	103	151	120	143
KANK1	626	876	760	2667	1664	1764
DMRT1	0	0	6	0	0	0
DMRT3	6	0	0	177	4	42
DMRT2	17	19	32	152	4	97
SMARCA2	15306	30341	31461	12303	3612	14567
FLJ35024	174	177	256	13	0	21
VLDLR	5161	6985	8069	1065	155	1725
KCNV2	30	64	52	14	2	25
KIAA0020	1642	1924	2102	486	86	395
RFX3	1977	3265	3308	98	58	369
GLIS3	263	1559	250	388	279	279
GLIS3-AS1	2	5	0	2	0	2
SLC1A1	3971	5625	9216	2505	510	3405
C9orf68	261	442	833	258	28	262
PPAPDC2	1667	1764	2443	717	143	762
CDC37L1	1767	2066	2776	1407	243	1984
AK3	3929	5972	4821	4600	2338	2449
RCL1	505	643	786	288	76	273
MIR101-2	0	0	0	0	0	0
JAK2	1988	2395	3461	934	225	1247
INSL6	0	0	1	0	0	0
INSL4	0	0	0	0	0	2
RLN2	13	16	0	0	4	8
RLN1	6	3	1	0	0	5
C9orf46	738	1031	1111	349	159	165
CD274	37	43	16	173	29	137
PDCD1LG2	44	30	1	12	2	5
KIAA1432	2864	3931	4300	1172	362	1677
ERMP1	1272	1637	1793	2388	705	2513
MLANA	29	49	49	7	2	7
KIAA2026	8200	11081	11950	2854	746	3652
MIR4665	0	0	0	0	0	0
RANBP6	5507	7024	7794	4412	422	4643
IL33	571	1725	159	987	1307	247
TPD52L3	2	0	0	0	0	0
UHRF2	6019	8414	5682	1577	336	1461
GLDC	1678	1288	1482	1069	515	747
KDM4C	1893	1916	2631	1388	315	1273
C9orf123	2586	2522	3723	1843	565	1750
PTPRD	69510	61978	71916	11588	1067	15188
TYRP1	6	18	8	172	6	213
LURAP1L	154	168	99	324	63	307
MPDZ	6517	10912	4405	4647	1522	5275
FLJ41200	26	17	6	22	4	12
C9orf146	0	0	0	0	0	0
NFIB	69502	61095	31237	3527	2113	4520
ZDHHC21	4585	6111	6102	4642	757	4884
CER1	2	4	0	4	2	3
FREM1	201	260	201	234	99	453
LOC389705	77	95	97	44	22	37
TTC39B	189	368	229	133	38	444
SNAPC3	4999	7839	5905	1934	631	2165
PSIP1	24455	34936	32140	12893	2753	12852
C9orf93	899	694	955	185	48	245
BNC2	44	258	353	24	113	25
CNTLN	1619	2570	1033	148	161	202
SH3GL2	8269	9848	20787	19141	592	18919
ADAMTSL1	578	2511	4155	199	10	205
MIR3152	0	1	0	0	0	0
FAM154A	0	1	2	0	0	0
RRAGA	6499	7532	9116	7021	1164	5603
HAUS6	4165	5671	3956	1273	360	1168
SCARNA8	6	17	6	0	0	0
PLIN2	1335	1865	982	356	282	182
DENND4C	6160	7036	6019	1576	849	1504
RPS6	62531	69020	55310	17169	11528	10783
ACER2	668	700	910	84	59	213
SLC24A2	3768	4707	3437	16708	572	27135
MLLT3	19185	22762	16828	1025	247	1340
MIR4473	1	4	2	0	0	0
MIR4474	2	4	3	0	0	0
KIAA1797	5469	5234	6408	3930	452	4995
MIR491	1	2	4	1	0	4
PTPLAD2	25	55	55	94	46	62
IFNB1	0	0	2	0	0	2
IFNW1	2	9	8	3	1	6
IFNA21	16	6	11	13	0	2
IFNA4	0	0	2	0	0	0
IFNA7	0	0	0	0	0	0
IFNA10	0	0	0	0	0	0
IFNA16	0	4	0	0	0	0
IFNA17	0	0	0	0	0	0
IFNA14	2	0	0	0	0	2
IFNA22P	0	2	0	0	0	0
IFNA5	0	2	0	0	0	0
KLHL9	8781	12431	11623	2318	582	2402
IFNA6	0	0	0	4	0	0
IFNA13	0	0	0	5	0	8
IFNA2	0	0	0	0	4	4
IFNA8	0	0	0	5	0	5
IFNA1	0	0	0	2	0	2
MIR31HG	5	0	0	126	7	142
IFNE	0	0	0	2	0	10
MIR31	0	0	0	0	0	0
MTAP	1284	2934	1867	826	269	638
C9orf53	0	0	0	0	0	0
CDKN2A	4	10	0	22	19	49
CDKN2B-AS1	2	10	0	8	3	20
CDKN2B	55	79	59	164	90	219
DMRTA1	48	76	4	10	16	2
FLJ35282	0	6	0	6	2	4
ELAVL2	11619	19110	20432	5673	249	6328
TUSC1	757	883	830	675	187	559
LOC100506422	0	0	0	0	0	0
C9orf82	1488	1832	1626	1113	329	552
PLAA	4225	4737	5695	2165	342	1986
IFT74	769	850	809	422	144	431
LRRC19	25	29	32	6	0	18
TEK	654	1152	1459	661	494	1037
LINC00032	26	71	47	5	2	9
C9orf11	4	11	10	2	0	2
MOB3B	2531	5262	1668	2149	307	1686
IFNK	0	2	0	1	0	0
C9orf72	4048	6900	7410	2379	337	2426
LINGO2	1135	702	1707	304	14	684
MIR876	0	0	0	0	0	0
MIR873	0	1	0	0	0	0
LOC401497	0	0	0	0	0	0
ACO1	1973	2793	2991	1687	903	1112
DDX58	452	1059	696	692	330	632
TOPORS	3448	5125	4456	1332	349	1194
LOC100129250	28	30	60	72	72	55
NDUFB6	1910	2128	2757	2672	803	2039
TAF1L	41	35	94	2	1	6
TMEM215	6	32	24	185	0	289
APTX	1852	2195	2228	1276	326	1146
DNAJA1	25034	38330	44708	11820	1956	13635
SMU1	6563	7859	7098	4107	1150	3244
B4GALT1	635	770	650	196	251	185
SPINK4	1	1	0	0	0	0
BAG1	2618	3339	4151	3969	1449	3019
CHMP5	6616	8446	10085	6823	1361	4625
NFX1	5314	6063	6081	2372	560	2793
AQP7	2	1	2	28	26	32
AQP3	14	22	26	54	21	24
NOL6	4818	3742	4429	2401	513	2795
SUGT1P1	41	58	32	21	5	52
ANKRD18B	6	13	4	101	25	129
ANXA2P2	115	639	334	43	126	66
PTENP1	462	690	772	288	65	370
PRSS3	14	41	46	935	207	1187
UBE2R2	10972	13901	14229	5036	1112	4326
UBAP2	5349	5577	5603	1837	411	1450
SNORD121B	30	17	16	1	0	6
SNORD121A	0	1	2	0	0	0
DCAF12	4923	5872	6269	1123	369	1093
UBAP1	4465	5149	4817	4651	1191	3830
KIF24	667	866	116	215	65	115
NUDT2	598	721	893	845	239	626
KIAA1161	2469	4072	1511	2575	1807	913
C9orf24	215	402	328	394	401	343
C9orf25	10124	13952	10585	10127	2092	9360
DNAI1	149	163	26	96	26	54
ENHO	2318	2042	2201	5375	10848	3338
CNTFR	12748	10247	6717	4331	2627	1205
LOC415056	130	160	103	15	0	9
C9orf23	215	315	283	629	430	458
DCTN3	6163	6989	7434	3744	935	3199
ARID3C	75	61	33	68	2	29
SIGMAR1	2900	2604	2711	1841	532	1524
GALT	1300	1618	897	1486	541	967
IL11RA	950	1390	785	949	449	587
CCL27	66	117	64	16	10	4
CCL19	8	18	10	6	54	34
CCL21	0	4	6	0	1	0
FAM205A	19	37	57	6	2	4
FAM205B	2	4	5	8	2	6
KIAA1045	3349	4674	12417	14312	1137	19290
DNAJB5	10661	12249	13862	1469	736	1999
C9orf131	130	141	105	17	6	43
VCP	19829	23658	24581	11080	2283	10123
FANCG	2415	3044	2183	569	190	390
PIGO	1803	1948	1537	1001	269	846
STOML2	2121	2438	1909	2244	733	1866
FAM214B	3350	4634	4877	2134	661	1494
UNC13B	6399	7845	4656	2694	905	3984
ATP8B5P	9	10	12	2	8	6
RUSC2	21253	22128	24355	13718	1953	13083
FAM166B	29	45	33	33	7	21
TESK1	3725	4078	4515	2920	826	2489
MIR4667	0	0	1	0	0	0
CD72	48	40	43	21	19	13
SIT1	7	0	2	0	12	0
RMRP	77	44	60	4	4	10
CCDC107	167	141	109	54	40	55
C9orf100	314	329	165	42	42	18
CA9	24	28	24	10	12	12
TPM2	1632	2395	1662	1324	3233	1496
TLN1	6112	9190	5154	5364	3881	3444
CREB3	3019	3500	3792	2962	1198	2650
GBA2	9108	11067	10624	7617	1675	7596
RGP1	1423	1955	1595	388	104	716
MSMP	670	792	728	242	54	354
NPR2	4215	4370	3752	1279	333	1090
SPAG8	155	317	282	297	142	190
HINT2	381	380	385	763	391	427
C9orf128	16	21	30	6	8	14
TMEM8B	3932	5026	4964	2925	948	3339
FP588	1278	1521	2753	1595	349	2139
OR13J1	18	18	24	27	6	11
HRCT1	21	6	18	39	52	53
LOC158376	41	47	42	65	32	60
OR2S2	0	0	0	4	0	2
RECK	944	1774	1600	650	280	749
GLIPR2	514	692	816	738	273	416
CCIN	6	4	3	10	4	16
CLTA	7727	8249	9544	7326	1413	5554
GNE	5449	6523	8100	2210	354	1879
RNF38	15318	20269	18919	4377	872	5086
MELK	1256	1394	158	4	0	6
MIR4475	0	0	0	0	0	0
PAX5	0	0	0	0	0	0
MIR4540	0	0	0	0	0	0
MIR4476	0	0	0	0	0	0
LOC100506710	8237	9473	11727	3422	641	3914
ZCCHC7	2033	2363	2635	621	223	483
GRHPR	2737	2784	2613	3852	1272	2472
ZBTB5	5452	6867	5784	719	216	615
POLR1E	2635	2841	2876	622	131	425
FBXO10	2350	2155	1936	1545	317	1860
TOMM5	2287	2597	2865	1769	625	1383
FRMPD1	90	119	233	398	100	313
RG9MTD3	2696	3046	2581	706	244	622
EXOSC3	1689	1741	1471	517	101	506
DCAF10	5015	5905	6439	1864	389	2284
MCART1	2023	2002	2273	538	160	554
SHB	5969	4870	4110	909	155	638
ALDH1B1	2194	2736	3063	717	166	828
IGFBPL1	8050	7556	1982	44	4	77
ANKRD18A	226	130	347	141	22	83
FAM201A	51	19	86	285	15	165
CNTNAP3	2475	959	1470	195	53	193
FAM75A1	0	0	0	0	0	0
FAM75A2	0	0	0	0	0	0
LOC653501	18	17	44	4	0	12
ZNF658B	0	0	0	0	0	0
FAM74A1	0	0	0	0	0	0
FAM75A3	0	0	0	0	0	0
FAM74A3	0	0	0	0	0	0
ZNF658	651	694	919	254	32	300
FAM75A5	0	0	0	0	0	0
FAM75A4	0	0	0	0	0	0
FAM75A7	0	0	0	0	0	0
MGC21881	686	686	817	152	88	201
KGFLP2	468	952	1079	789	168	451
LOC643648	0	3	0	0	0	0
ANKRD20A2	0	0	0	0	0	0
ANKRD20A3	0	2	5	0	0	0
FAM95B1	13	20	11	14	6	9
FOXD4L2	0	0	0	0	0	0
FOXD4L4	0	0	0	0	0	0
LOC286297	0	0	0	0	0	0
AQP7P3	2	3	6	1	0	2
LOC642929	0	0	4	0	4	0
FAM75A6	0	0	0	0	0	1
CNTNAP3B	79	206	113	41	2	112
FAM27C	18	19	45	2	0	7
FAM27A	88	237	360	36	27	70
KGFLP1	129	165	38	25	24	82
FAM74A4	0	0	0	0	0	0
FAM74A2	0	0	0	0	0	0
LOC442421	82	58	64	152	31	139
LOC100133920	0	2	4	0	0	0
AQP7P1	8	5	4	3	0	5
FAM27B	18	10	47	6	0	4
ANKRD20A1	0	0	0	0	0	0
LOC642236	75	203	147	43	13	33
LOC100132352	157	221	165	33	16	51
PGM5P2	77	160	83	21	2	31
LOC440896	2	0	6	246	23	180
FOXD4L6	10	21	40	20	6	51
CBWD6	337	482	412	450	67	296
ANKRD20A4	29	165	24	51	0	14
FOXD4L5	1	14	17	7	2	6
CBWD3	196	254	572	186	34	274
CBWD5	0	0	0	0	0	0
FOXD4L3	5	13	21	9	2	38
LOC572558	2	4	4	4	0	6
PGM5	108	238	460	197	154	235
C9orf71	0	2	2	2	2	2
PIP5K1B	240	649	261	1525	270	2730
FAM122A	1470	1693	1913	1437	357	1312
PRKACG	0	0	0	0	0	2
FXN	422	572	662	521	171	495
TJP2	993	1657	830	3837	1007	2031
FAM189A2	216	300	79	747	397	270
APBA1	12748	12042	17373	9507	1190	12300
PTAR1	6000	8094	3872	2326	1661	2083
LOC494558	0	0	0	0	0	0
C9orf135	4	2	0	1	0	4
MAMDC2	236	468	277	130	24	138
LOC100507244	13	15	24	7	0	11
LOC100507299	15	29	37	0	2	7
SMC5	4489	5693	5017	989	381	1053
KLF9	922	500	1635	5889	1334	8380
TRPM3	2677	1521	3297	373	104	1023
MIR204	0	0	0	0	0	0
TMEM2	2064	5672	4503	1574	373	1934
FAM108B1	3791	4221	5130	2390	349	1693
C9orf85	287	481	513	274	68	98
C9orf57	0	4	3	0	0	0
GDA	785	1450	5744	11977	414	18195
ZFAND5	19954	27263	37503	20296	3430	18243
TMC1	7	24	44	30	24	19
ALDH1A1	8	48	199	4425	4935	2646
ANXA1	302	835	784	585	608	474
RORB	3699	5013	5685	672	263	2147
TRPM6	56	115	291	307	43	237
C9orf40	1249	1391	2170	651	170	718
C9orf41	959	1020	1233	264	75	481
C9orf95	713	801	1288	1274	277	860
OSTF1	652	806	981	2973	373	2658
PCSK5	853	921	1023	121	113	173
RFK	3477	5558	10067	5222	586	4846
RPSAP9	59	66	16	33	16	20
GCNT1	845	657	931	456	82	466
PRUNE2	1629	3754	5156	12024	1156	16450
PCA3	0	12	8	6	2	6
FOXB2	0	0	0	0	0	0
LOC100286938	0	0	0	0	0	0
VPS13A	2523	3334	3542	2136	417	3721
GNA14	85	64	104	458	193	294
GNAQ	11483	15876	23746	2226	654	6136
CEP78	2909	3586	3504	356	135	439
PSAT1	4276	6011	2197	7949	5332	2659
TLE4	16786	14896	20205	3634	584	3053
TLE1	4806	4454	2158	2299	1088	1921
FAM75D5	0	0	0	0	0	0
FAM75D4	0	0	0	0	0	0
FAM75D3	0	0	0	0	0	0
FAM75D1	0	0	0	0	0	0
RASEF	17	24	33	4	0	18
FRMD3	9241	5572	9119	507	534	635
C9orf103	217	306	340	598	412	428
UBQLN1	20471	23338	30882	14937	1663	15429
GKAP1	837	1344	1334	833	225	486
KIF27	1134	1498	1443	240	53	364
C9orf64	1194	2086	1551	467	151	350
HNRNPK	58614	69833	66062	24436	6507	20780
MIR7-1	49	69	53	39	5	22
RMI1	2169	2622	2912	569	96	431
SLC28A3	4	4	2	2	0	4
NTRK2	20303	7434	13466	42891	29723	27041
AGTPBP1	12616	12847	22146	4484	475	5836
LOC389765	825	1128	1494	277	88	258
NAA35	3698	4446	5180	1285	277	1531
GOLM1	17191	24238	21420	9099	3694	7448
C9orf153	2	2	0	0	0	0
ISCA1	3416	4485	5839	5141	1027	4938
ZCCHC6	3338	4438	4076	661	199	1047
GAS1	1306	2769	1295	265	210	137
LOC440173	3	8	2	2	0	4
LOC494127	0	0	0	0	0	0
C9orf170	18	15	16	23	2	25
DAPK1	9344	14413	12904	4036	608	5657
CTSL1	1129	2083	3114	2901	970	2256
CTSL3	6	11	15	6	1	13
CTSL1P8	0	7	5	1	0	0
LOC392364	1	0	0	4	0	0
C9orf79	2	0	4	8	0	4
FAM75C1	7	6	8	26	4	40
CDK20	2647	1957	2528	1804	193	1959
FAM75C2	0	0	4	8	2	5
SPIN1	34022	41119	54185	14125	2232	17468
NXNL2	38	68	31	43	5	23
LOC286238	0	0	0	0	0	0
MIR4289	0	0	0	0	0	0
C9orf47	319	572	339	37	29	70
S1PR3	1574	3133	1055	342	668	342
SHC3	5025	16985	28770	13500	3216	21153
CKS2	1481	1782	531	151	12	134
MIR3153	16	16	4	0	0	0
SECISBP2	9725	9089	7097	2979	646	2803
SEMA4D	5232	3207	2096	10235	1412	5035
GADD45G	2024	2489	230	185	135	120
UNQ6494	2	1	3	0	0	1
LOC286370	1	0	0	0	1	2
MIR4290	0	0	0	0	0	0
LOC340515	0	8	0	7	0	10
DIRAS2	1629	3581	4402	23819	694	36248
SYK	134	159	83	118	26	41
LOC100129316	15	14	72	6	0	2
AUH	930	1146	1104	2011	263	1651
NFIL3	3493	4817	5711	595	200	586
